pct_change_22,Indicator5_0,Indicator5_30,Indicator5_150,Indicator5_210,Indicator50_30,Indicator50_0,Indicator20_0,Indicator200_0,Indicator100_0,Indicator150_0,Indicator10_150,Indicator20_30,Indicator10_30,Indicator150_180,Indicator20_180,Indicator10_0,Indicator200_150,Indicator50_210,Indicator200_30,Indicator10_180,Indicator20_150,Indicator150_30,Indicator20_210,Indicator50_180,Indicator10_210,Indicator200_210,Indicator150_150,Indicator100_180,Indicator100_30,Indicator100_210,Indicator150_210,Indicator200_180,Indicator50_150
0.009610265,0.043537462,0.037693516,-0.034521429,-0.116061786,0.112629454,-0.057212964,0.066424627,-0.132783332,-0.008341569,-0.161404104,0.062076336,0.014728144,-0.032757379,-0.039687219,-0.008163291,0.063698383,0.064259568,-0.05919892,-0.151026819,0.011424026,0.038096095,-0.058926504,-0.033412283,-0.097867292,-0.047778323,0.226029511,-0.063910047,-0.100070953,-0.099077952,-0.037517666,0.087346738,-0.037258688,0.034129396
0.230796617,0.04552352,-0.015197568,0.017182131,0.014981273,0.029159874,0.065639663,0.15569905,0.724269756,0.183354378,0.365756209,0.053400569,-0.017626728,0.000770297,0.485039789,0.024697881,0.116336673,0.695174513,0.45078932,0.729163239,-0.061028603,0.20325021,0.551227638,0.077774063,0.114706312,0.038803841,-0.185248051,0.913431441,0.440967719,0.258505913,0.367493433,0.334809917,-0.163378688,0.262501861
0.420647153,-0.027361356,-0.00565919,0.015307764,0.011753696,0.087582585,0.110340781,-0.079171181,0.78915518,0.241000721,0.660654459,-0.030064948,0.128971658,0.129542629,0.382246331,-0.023388422,-0.169269029,0.55404492,0.176573048,0.814952321,-0.011192248,0.047398154,0.862742786,0.098444341,-0.025655966,0.160696703,0.611650475,0.354050827,0.121159573,0.46276194,0.393314778,0.557274539,0.188810232,0.077379566
-0.015492025,-0.00939972,0.032061067,0.044465098,-0.002896833,0.018850041,0.08439645,0.041470383,0.395642539,0.172413908,0.294289937,0.124835289,0.054219771,-0.091735362,-0.043352461,-0.059362184,0.053258716,0.308178604,0.030807358,0.264009446,-0.019420622,0.232851959,0.44243029,0.038387984,-0.123694604,0.035950111,0.61150403,-0.044086773,-0.205599981,0.256800175,-0.019580655,0.313488408,0.220901801,0.078307494
0.049058644,0.11058264,0.128388753,-0.002415399,0.057045062,0.130421162,-0.042249887,0.014910655,0.387008075,0.270254217,0.30949716,-0.046028365,-0.056916377,-0.019391619,1.016532179,0.104690038,-0.035283046,1.16769642,0.205465946,0.555917136,0.077109055,0.029715386,0.23633608,0.051034827,0.258490439,0.010271529,1.126226989,0.544168465,0.470541805,0.183823154,0.386647298,0.829396185,1.202967196,0.059191358
-0.00317439,0.081081081,-0.06684492,0,0.007792208,0.036121452,0.118622313,0.153210068,-0.183138121,0.074054028,-0.048900693,0.020487308,-0.054615726,-0.005200934,0.022879189,-0.040620764,0.090282023,-0.121701254,0.035085111,-0.383876558,0.077280205,-0.033026167,-0.280413164,-0.080353784,-0.143781666,-0.078113104,0.545027393,-0.069861311,-0.024407288,-0.114067975,0.119049329,0.152117606,0.185757446,-0.141139234
0.16220709,-0.034392424,0.009747933,-0.001232127,0.019265248,0.08426328,0.201703644,0.182434388,0.973600973,0.448740816,0.844151518,-0.012349927,-0.006814889,0.118265207,0.500782948,0.049270037,0.050032377,0.387977141,0.14608484,0.608831272,-0.110824729,0.020770375,0.554550739,0.059035267,0.034917183,-0.03677838,0.235096567,0.290639564,0.288082416,0.431713714,0.631423325,0.227708958,0.235850351,0.070194587
0.325529152,-0.102040816,0.19047619,-0.388059679,0.281045784,0.312698068,0.484759573,0.05103738,-0.203208603,0.477140231,0.308367799,-0.245165338,0.3597889,0.141746246,0.336358752,0.093048073,-0.041038909,-0.513445612,-0.07955643,-0.351104913,-0.031117598,-0.35007388,-0.332393231,-0.03882523,-0.028027999,0.021583957,0.098950958,-0.191244099,0.136744293,0.180679943,0.434858759,-0.088734522,0.129942783,-0.39100351
0.487059958,-0.072463848,-0.020100539,-0.101052607,0.074130103,0.092816718,0.140076552,0.082436865,0.476945294,0.492673223,0.869798244,0.012700624,-0.058741706,-0.014340903,-0.4619717,-0.165435898,-0.009362706,-0.388780488,-0.379438444,0.009769565,-0.039091704,-0.107459014,0.461098558,-0.240137173,-0.308897022,0.017882168,-0.477058079,-0.527526395,-0.468177919,0.398471337,-0.453467739,-0.195245208,-0.272948342,-0.21010446
0.169601464,-0.014675052,0.025234355,-0.007134403,-0.011698305,0.214583154,0.08420045,-0.002412113,0.319801873,0.254763047,0.20075028,0.000162302,0.035301996,-0.030629617,0.257973093,0.04689799,0.004222994,0.249875966,0.097387113,0.283764515,0.010445843,-0.002787412,0.2038208,-0.023946483,0.066408319,0.023523187,-0.068268953,0.25616157,0.311775154,0.269715478,0.063046963,0.122981819,0.159542508,0.099147671
0.263354636,-0.039642779,0.002854007,-0.000446229,0.029591837,0.434564359,0.138156663,-0.068867991,0.567629642,0.506026829,0.467665106,0.038063588,0.176964085,0.142760149,0.11960871,0.025708913,-0.03675581,0.245507906,0.002482433,0.764383767,-0.033623149,0.023822384,0.580449061,-0.000524124,0.116381294,0.071816711,0.241132536,0.165314396,0.130369411,0.523392841,-0.033614878,0.089714311,0.256093622,0.068111271
