ROC200_0,ROC200_30,ROC200_150,ROC200_180,ROC200_210,ROC150_0,ROC150_30,ROC150_150,ROC150_180,ROC150_210,ROC100_0,ROC100_30,ROC100_150,ROC100_180,ROC100_210,ROC50_0,ROC50_30,ROC50_150,ROC50_180,ROC50_210,ROC20_0,ROC20_30,ROC20_150,ROC20_180,ROC20_210,ROC10_0,ROC10_30,ROC10_150,ROC10_180,ROC10_210,ROC5_0,ROC5_30,ROC5_150,ROC5_180,ROC5_210,pct_change_22
-0.336110219,-0.553621725,0.26674208899999996,0.076713075,0.43872679200000003,-0.52134875,-0.274110392,0.21144014100000003,-0.104330004,0.11559029800000001,-0.539214605,-0.5166666529999999,-0.025385366,-0.269058321,-0.0047705840000000005,-0.472715361,-0.44495871299999995,0.387001039,-0.385060387,-0.180020586,-0.180596581,-0.418670131,0.20518883899999998,0.008330543000000001,-0.31790743,-0.187790149,-0.327370573,0.078709385,0.023355072999999997,-0.24414712800000002,-0.232744783,-0.261772853,0.018678161000000002,-0.079159935,-0.112359551,-0.508478448
-0.26584236899999997,-0.505502817,0.282045489,0.11884567800000001,0.445696026,-0.44028754200000003,-0.234406767,0.20967861899999998,-0.045295084000000006,0.104722049,-0.47089949299999995,-0.459347568,-0.068543529,-0.262593675,-0.020961528,-0.25682552,-0.390251515,0.311669271,-0.35409932899999996,-0.19549607300000002,-0.091343936,-0.233747972,0.18684008800000002,-0.011282821,-0.332693881,0.05414995400000001,-0.10236441199999999,0.15352726,-0.015164314,-0.21805493199999998,0.24999996,-0.23824453399999998,-0.014513788,-0.009328358,-0.008027666,-0.504905603
-0.216339513,-0.061883397,0.24145822600000003,1.130848354,0.9531809720000001,0.13062664400000001,-0.16087822699999998,-0.095113651,0.608466067,0.813606188,-0.19503003600000002,0.2906968,-0.159495617,0.559439996,0.35990381899999996,-0.202230687,-0.125340839,-0.306879516,0.117974331,0.199253856,-0.191519907,-0.073939824,-0.22537137899999998,0.08408876,-0.059704027,-0.12030216,0.028548142000000002,-0.06818696,0.06530773,-0.119400569,-0.05384615400000001,-0.086956522,-0.016666667,0.177884615,0.05204461,-0.46922321
-0.147989235,-0.048089555,0.31599374199999997,1.250565543,0.78915518,0.186962093,-0.20105551300000002,-0.051549524000000006,0.762335137,0.660654459,-0.07028712299999999,0.32801405899999997,-0.093418159,0.508911688,0.241000721,-0.11440125699999999,-0.144970344,-0.282192102,0.191460059,0.110340781,-0.169417832,-0.054881655,-0.295135401,0.13809281,-0.079171181,-0.142742023,-0.074850052,-0.034843482,0.055213752000000005,-0.169269029,0.04609375,-0.074500768,-0.012163891999999999,0.016235516000000002,-0.247073072,-0.439344985
-0.287529549,-0.457158348,0.212404662,0.16276048199999998,0.70464486,-0.347408316,-0.19932815199999998,0.121499588,-0.14369858800000002,0.358638223,-0.443347758,-0.468005933,-0.11184564599999999,-0.22564254600000003,0.21797515899999997,-0.401811195,-0.39793096200000005,0.09175533300000001,-0.322017312,-0.15026350900000002,-0.053489093,-0.37910930299999995,0.167206396,-0.076388844,-0.134273325,-0.131484133,-0.253486453,0.029825805,-0.019143129,-0.18066107399999998,0.057416330999999994,0.002085014,-0.010661671999999999,-0.0027573529999999997,-0.044585987,-0.43715717299999995
-0.33713434200000003,-0.293531019,0.223983453,0.216932373,0.9180781509999999,-0.27479829100000003,0.072597695,0.11523630300000001,-0.115278699,0.520692508,-0.382661906,-0.24662261600000002,-0.23098179100000002,-0.20237618899999998,0.40895217799999994,-0.39498839700000005,-0.24064202199999998,-0.085956844,-0.34134766,-0.032821261000000004,0.08987161199999999,-0.258725055,0.18351797,-0.242811031,-0.029380075,0.086550194,-0.17014943100000002,0.110450275,-0.071933045,-0.016764985,0.324027916,-0.085624155,0.071618037,-0.013371883000000001,-0.116081759,-0.41806722700000004
0.304673382,1.204274369,0.7145745240000001,0.6428990520000001,0.62954592,-0.040654218,0.73164852,0.38786424799999997,0.48790853799999995,0.39859627799999997,-0.110787143,0.436370339,0.475632358,0.362287133,0.123710178,-0.288795585,0.195278342,0.359961556,0.272934053,0.085797198,-0.28759119699999997,0.130406933,0.036683777,0.197519031,0.064567584,-0.122743964,-0.002007195,0.028384304,0.07755961900000001,0.00139012,-0.016091275,0.024235761,0.033333343,0.06711225400000001,0.040664869,-0.35334160600000003
-0.329294956,-0.318202395,0.351914057,0.229753458,0.187911468,-0.5263564279999999,-0.387522074,0.04420744,0.089845132,-0.053548060999999994,-0.465824192,-0.47955647100000004,-0.08536954,-0.10444307,-0.168522805,-0.123940736,-0.46022999299999995,0.41605435799999996,0.113179066,-0.317663773,-0.09673676199999999,-0.07993871400000001,0.067401137,0.150070336,-0.017173513999999997,-0.09673676199999999,-0.138020108,-0.012428518999999999,0.028879099,0.00394126,0.0,-0.379310345,-0.058252427,-0.11464968199999999,-0.01863354,-0.340004239
0.42200728600000004,1.127386483,0.634231792,0.637689779,0.655244633,0.066798623,0.701599712,0.34270849700000006,0.502389683,0.42418767399999996,-0.054731409,0.42084094899999996,0.407544952,0.327141162,0.14833234,-0.23210256699999998,0.122429408,0.33296693,0.250227341,0.09204143599999999,-0.271785609,0.11130241099999999,-0.0005769390000000001,0.20940973300000001,0.075909117,-0.168851168,-0.014424828,-0.030618017,0.09136003699999999,0.007662825,0.035414725,-0.098995696,0.022333591,-0.031836776000000004,0.07111975400000001,-0.33811588299999995
-0.266454682,-0.060191054,0.516161854,0.414243477,0.891059425,-0.21520356899999998,-0.106446728,0.512851805,0.508314566,0.653158472,-0.323184732,-0.155739224,0.275192832,0.505568107,0.554112883,-0.130873993,-0.229120989,-0.065304977,0.051765994,0.454250072,-0.141571277,-0.030116821000000002,0.02968228,-0.08389937,0.138595942,-0.059865844,-0.128981006,0.0030673009999999997,-0.061181544000000004,0.047559275,0.174418605,-0.009049774,0.04444444400000001,-0.06557377,0.03626943,-0.336036321
