Oil Rate Cum,sed18ss_csv,seh5n_csv,sef19n_csv,sda5n_csv,sec10ls_csv,sec1n_csv,sec24_csv,sec34ls_csv,sed24ls_csv,sec7_csv,sec20_csv,sed3ls_csv,raa4ss_csv,seh8n_csv,sec4_csv,sed7n_csv,seb7ls_csv,seh3st3n_csv,seb31_csv,sed24ss_csv,sec34ss_csv,raa4_csv,raa1_csv,raa3_csv,sed21ls_csv,sef12n_csv,raa2_csv,sed2ls_csv,seg25st_csv,see8n_csv,see5ls_csv,sed12ls_csv,sec32n_csv,see15ss_csv,sda3ss_csv,raa9_csv,raa8_csv,sed14ls_csv,sed10ss_csv,sec11_csv,sec38_csv,sea2_csv,sed28ls_csv,seg3st_csv,seb6st1ls_csv,sed8ss_csv,sed31ls_csv,sed9ls_csv,seh6n_csv,sef9n_csv,seb8_csv
11926.51,374.46,226.12,329.07,0,30.57,0,298.54,0,177.15,0,255.24,0,0,211.85,111.28,375.22,167.8,25.37,346.04,5.17,38.27,925.27,493.93,61.02,444.74,0,783.93,0,254.87,579.9,167.37,0,0,0,242.96,169.01,38.4,265.14,555.17,769.4,171.13,567.59,0,352.69,0,0,438.01,771.2,150.73,698.43,53.47
11941.95,367.61,258.16,313.09,0,0,0,0,0,168.54,0,0,0,0,248.07,0,356.99,159.65,30.49,329.24,236.28,0,880.33,469.95,58.05,423.14,0,745.86,0,242.49,551.74,159.24,136.78,0,0,231.16,160.8,29.68,366.93,528.2,0,0,1800.07,0,335.57,311.48,0,416.74,733.74,176.5,664.51,50.87
11976.39,377.11,273.26,331.4,0,36.94,0,300.66,0,178.4,0,235.63,0,0,262.58,0,377.87,168.99,32.28,348.49,0,0,931.82,497.43,61.45,447.89,0,789.48,0,256.67,584.01,168.55,0,0,0,244.68,170.21,38.67,267.02,559.1,774.84,172.35,571.6,0,355.19,0,0,441.11,776.66,186.83,703.37,53.85
12076.72,0,305.97,371.06,0,241.3,0,363.34,0,199.75,167.03,290.16,0,0,282.96,502.69,423.1,206.42,35.02,390.2,280.04,414.29,0,0,0,395.41,0,0,0,290.56,653.91,285.29,0,0,340.55,0,0,0,293.05,626.01,904.23,332.38,640.02,121.03,389.13,225.21,0,493.91,538.33,269.73,804.64,0
12162.67,0,164.26,142.87,260.31,434.21,127.58,215.78,57.63,183.58,693.47,241.36,0,358.86,145.52,701.46,77.87,229.04,22.13,399.27,329.57,0,0,295.55,43.9,584.05,0,679.07,414.08,158.13,273.15,170.19,60.81,6.18,0,127.78,108.89,19.95,198.52,341.22,499.47,166.1,821.61,213.91,256.86,374.26,372.76,323.32,235.8,101.19,403.83,127.32
12187.79,379.5,284.21,344.67,0,12.81,0,312.7,0,185.55,0,267.35,0,0,273.1,19.43,393.01,175.76,33.57,362.45,0,0,686.48,517.36,63.91,465.83,0,821.11,0,266.95,607.4,175.31,0,0,0,254.48,177.02,36.87,277.72,581.49,805.88,179.25,594.5,0,369.42,14.29,0,458.78,807.77,194.31,731.55,56
12207.48,357.01,250.72,304.06,0,33.9,0,68.96,0,163.68,8.93,19.65,0,0,240.92,51.41,346.7,155.05,29.62,319.75,229.47,21.22,854.95,456.4,56.38,410.94,0,724.36,0,235.5,535.83,154.65,0,0,0,224.49,156.16,35.48,356.35,512.97,266.6,46.12,1748.16,219.23,325.89,302.5,0,404.72,712.59,171.41,645.35,49.4
12212.64,178.55,286.61,347.58,0,0,0,315.34,0,187.11,0,269.6,0,0,275.4,264.46,396.32,177.24,33.85,365.51,147.55,0,977.32,521.72,64.45,205.52,0,828.03,0,269.2,612.53,176.78,0,0,0,256.63,178.52,40.56,280.06,586.39,812.68,180.76,599.51,0,372.53,0,0,462.65,551.54,195.95,737.72,56.47
12263.63,0,309.25,375.05,0,334.48,0,367.24,0,201.9,261.4,293.27,0,0,285.99,359.89,427.64,208.63,35.4,394.39,283.04,418.74,0,0,0,399.65,0,0,0,293.68,660.93,288.35,0,0,344.21,0,0,0,296.2,632.73,913.94,335.95,646.89,202.81,393.31,227.63,0,499.21,544.11,272.63,755.09,0
12288.06,0,200.95,377.35,0,0,0,342.35,0,203.14,0,0,0,0,298.99,0,430.27,192.42,36.75,396.82,0,0,1061.03,566.41,69.97,509.99,0,898.96,0,261.82,664.99,191.93,0,0,0,278.61,193.81,35.78,304.05,636.62,882.29,196.24,569.51,0,362.32,0,0,502.28,547.46,212.73,800.91,61.31
