STOOIP,Net pay,Porosity,Swi,Permeability,API,Visc,P,Actual RF
508,112,0.154,0.4,66,30,0.53,4080,33.3
1401,16,0.31,0.33,474,35.6,1.37,2690,33.9
1071,96,0.32,0.3,300,36.6,0.28,4915,46
828,27,0.2,0.28,190,39.3,0.5,3263,64
1445,85,0.3,0.162,2000,34.1,0.65,4309,58.1
1198,79,0.25,0.25,385,27.3,1.79,1750,44.2
708,14.5,0.164,0.306,390,45,0.91,3425,36.7
1396,8.4,0.324,0.25,2360,27.1,4.95,2585,46.6
1658,11,0.34,0.25,400,29,1.4,2750,57.3
1537,8,0.31,0.53,795,35,0.44,3500,32.5
1592,41,0.328,0.25,1200,34,1.1,1800,61.4
1700,20,0.34,0.24,583,25,2.3,2325,44.1
1500,60,0.3,0.3,1000,25,3.6,1960,63.3
1530,600,0.275,0.13,3000,24,4,1985,64.7
1335,9,0.29,0.21,1000,34.6,0.71,3225,56.2
1028,13.6,0.222,0.248,475,38,1,1115,38.4
867,121,0.147,0.118,193,22.1,11.5,1585,18.2
948,33,0.159,0.112,140,21.1,19,1585,17.5
762,80,0.2,0.45,584,35,2.5,2000,16.4
872,17,0.19,0.35,58,36,3.5,1700,15.5
556,46,0.125,0.3,23,22,10,1950,28.8
796,48,0.17,0.29,168,52,0.43,4070,60.3
875,45,0.18,0.25,170,36,3,2800,40
646,83,0.146,0.31,7,60,0.23,3638,18.9
1351,14,0.32,0.28,450,40,0.44,3653,44.6
1493,10,0.34,0.4,850,20,15,550,20.1
1227,9,0.29,0.34,164,29,1.06,2325,40.7
1069,16,0.31,0.4,349,42,0.8,2658,35.1
1155,11,0.302,0.31,634,32,0.91,2667,65.8
1429,47.5,0.319,0.33,1000,24.7,1.32,2364,58.8
1697,35,0.35,0.3,600,20,10,500,41
1257,16,0.35,0.35,5000,42,0.44,2799,58.3
395,42,0.11,0.28,39,46,0.33,3020,44.1
1433,50,0.277,0.225,500,33,3.8,2021,61.7
1315,27,0.258,0.2,572,45,0.55,1675,51.6
900,31,0.232,0.3,285,39,0.33,2865,33.6
1258,18,0.279,0.25,440,41.8,0.43,4500,44.6
1440,10,0.3,0.35,600,40,2.5,2493,46.3
527,20,0.13,0.43,12,36,2.2,3730,28.5
913,280,0.245,0.43,500,26,4.2,1753,30.7
1522,38,0.31,0.19,400,32,0.88,3515,42.6
1603,19,0.31,0.2,300,30,1.4,3300,65.6
